name,affiliate_url,asin,category,commission,image_url
"Dog Bark Deterrent Device, 3X Ultrasonic Anti Barking, 6 Training Modes 23 FT Range Barks No More Indoors Outdoors Behavior Correct Safe & Humane Rechargeable Compact Bark Control for Dogs",https://amzn.to/4mshS3J,B0F7LSKLTZ,Pet Care,3.0,https://cheapandlazystuff.com/products/B0F7LSKLTZ.jpg
"Geesta Dehydrator Rack Stainless Steel Stand Compatible with Ninja Foodi AG300, AG300C, AG301, AG301C, AG302, AG400, IG301A Ninja Foodi Grill Accessories",https://amzn.to/3KiWssz,B087CX6F6X,Kitchen,4.5,https://cheapandlazystuff.com/products/B087CX6F6X.jpg
"HOTEC 4 Pieces Silicone Whisks Set, Wire Balloon Whisks Egg Beater, Non-slip Handle Whisk for Non-stick Cookware Perfect for Cooking, Stirring, Beating and Blending (Black)",https://amzn.to/4nm8BLY,B0BYRP4QHJ,Kitchen,4.5,https://cheapandlazystuff.com/products/B0BYRP4QHJ.jpg
"JAYVAR Onion Holder for Slicing, Onion Cutter Vegetable Chopper, Stainless Steel Tomato Slicer Vegetable Cutter for Potato, Avocados, Eggs, Food Slicer Assistant Tool for Fruit Lemon and Meat",https://amzn.to/46k2fGY,B0C9ZGMN9D,Kitchen,4.5,https://cheapandlazystuff.com/products/B0C9ZGMN9D.jpg
OXO Good Grips Corn Prep Peeler,https://amzn.to/4gGZIdm,B07PLCYTFZ,Kitchen,4.5,https://cheapandlazystuff.com/products/B07PLCYTFZ.jpg
"Polder Candy Thermometer, Stainless Steel Cooking Thermometer with Pot Clip, for Jam, Syrup, Jelly, Yogurt, and Deep Fry, 12""",https://amzn.to/3VtxJUP,B001FB6IFY,Kitchen,4.5,https://cheapandlazystuff.com/products/B001FB6IFY.jpg
3 Pack Pet Food Can Covers Universal Can Lids Safe/Silicone Dog&Cat Food Can Lid Covers (green+blue+orange),https://amzn.to/4pBSQ51,B095M6H5D7,Beauty,3.0,https://cheapandlazystuff.com/products/B095M6H5D7.jpg
Grannick's Care Dogs Bitter Apple No Chew Spray 8oz,https://amzn.to/4pEd2mG,B01KNFI86E,Pet Care,3.0,https://cheapandlazystuff.com/products/B01KNFI86E.jpg
"Arm & Hammer for Pets Ringers Fresh Breath Dental Treats for Dogs,Value Pack,32 Pcs Dog Dental Chews Fight Bad Dog Breath,Plaque & Tartar Without Brushing With Baking Soda(Pack of 1,32 Count)",https://amzn.to/3VxhoOQ,B0815JLWCM,Pet Care,3.0,https://cheapandlazystuff.com/products/B0815JLWCM.jpg
"Nature's Miracle Deodorizing Bath Wipes Sunkissed Breeze Scent, 100 ct",https://amzn.to/4mtN56E,B0CCB4XW1M,Pet Care,3.0,https://cheapandlazystuff.com/products/B0CCB4XW1M.jpg
"Zymox Advanced Enzymatic Ear Wipes for Dogs and Cats - for Dirty, Waxy, Smelly Ears - Premium Strength Ear Cleaner Wipes - Non-Irritating - Hypoallergenic - 100 ct",https://amzn.to/4gAI3E1,B0CSGXJV7K,Pet Care,3.0,https://cheapandlazystuff.com/products/B0CSGXJV7K.jpg
"Vet’s Best Enzymatic Dog Toothpaste – Vet Formulated Dental Gel for Teeth Cleaning, Fresh Breath, Tartar Control, Plaque Remover & Oral Hygiene for Dogs, 3.5 oz",https://amzn.to/3KCyrg3,B0002AQMZU,Pet Care,3.0,https://cheapandlazystuff.com/products/B0002AQMZU.jpg
TropiClean Fresh Breath Oral Care Spray for Dogs & Cats | Dog Breath Spray | Mint Breath Freshener | Pet Bad Breath Treatment | Made in The USA | 4 oz,https://amzn.to/4pyTAYR,B01MZ1W9NT,Pet Care,3.0,https://cheapandlazystuff.com/products/B01MZ1W9NT.jpg
"Douxo S3 Pyo Mousse, Contains 3% Chlorhexidine & 0.5% Ophytrium, Antiseptic & Hydrating, for Bacterial or Yeast Skin Infections, for Dogs, 5.1 fl. oz. (150mL)",https://amzn.to/3IzDZr1,B094783CJ9,Pet Care,3.0,https://cheapandlazystuff.com/products/B094783CJ9.jpg
"Nylabone Advanced Oral Care Pet Dental Water Additive, Liquid Tartar Remover & Breath Freshener for Dogs, Dog Teeth-Cleaning, Original Flavor, 32 oz.",https://amzn.to/4nqU3uI,B006YFYNIU,Pet Care,3.0,https://cheapandlazystuff.com/products/B006YFYNIU.jpg
Zesty Paws Dog Allergy Relief- Dog Itching Skin Relief- Dog Probiotics for Itchy Skin and Itchy Ears- Dog Allergy Paw Relief- Dog Allergy Chews- Dog Itch Relief - Dog Skin Allergy Relief - PB - 90ct,https://amzn.to/42Nzccr,B079TWY9FK,Pet Care,3.0,https://cheapandlazystuff.com/products/B079TWY9FK.jpg
"Nutramax Cosequin for Dogs Joint Health Supplement, Contains Glucosamine for Dogs, Plus Chondroitin and MSM, Supports Healthy Joints, For All Breeds and Sizes, Chewable Tablets, 132 Count",https://amzn.to/4mCuMwd,B003ULL1NQ,Pet Care,3.0,https://cheapandlazystuff.com/products/B003ULL1NQ.jpg
"Zesty Paws Dog Multivitamin, Chewable Dog Vitamins and Supplements for Hip & Joints, Skin & Coat, Omega 3 Fish Oil for Dogs- Senior & Puppy Multivitamin- Chicken- 90ct",https://amzn.to/4nfyjSb,B07121B839,Pet Care,3.0,https://cheapandlazystuff.com/products/B07121B839.jpg
"Pet Snuffle Mat for Dogs,Interactive Feed Puzzle for Boredom,Encourages Natural Foraging Skills for Cats Rabbits Dogs Bowl, Dog Treat Dispenser Indoor Outdoor Stress Relief,Travel Portable and Compact",https://amzn.to/3W2C2qf,B08HSBQBWN,Pet Care,3.0,https://cheapandlazystuff.com/products/B08HSBQBWN.jpg
"TKTK Pimple Patches, 12 mm Invisible Acne Patches for Face with Salicylic Acid, 0.01cm Extra Thin Outer Edge, Hydrocolloid Zit Patch for Pustule, Whitehead, Cystic Acne Spot, 48 Count",https://amzn.to/42IfVcr,B0C74LKMBX,Beauty,3.0,https://cheapandlazystuff.com/products/B0C74LKMBX.jpg
"SEVICH Hairline Powder - Quick Cover for Thinning Grey Hair, Eyebrows & Beard for Women & Men, Windproof & Sweatproof, Blonde",https://amzn.to/3IneHfT,B08NPTTYB4,Beauty,3.0,https://cheapandlazystuff.com/products/B08NPTTYB4.jpg
"Glycolic Acid 20% Resurfacing Pads for Face & Body with Vitamins B5, C & E, Green Tea, Calendula, Allantoin - Exfoliates Surface Skin and Reduces Appearance of Fine Lines and Wrinkles - Peel Pads",https://amzn.to/4pDONFo,B07JQG2WF5,Beauty,3.0,https://cheapandlazystuff.com/products/B07JQG2WF5.jpg
"Derma E Anti-Wrinkle Renewal Skin Cream – Vitamin A Wrinkle Treatment Cream – Vegan Anti-Aging Moisturizer to Smooth & Renew Aging Skin, 4 oz",https://amzn.to/4mAYthg,B00021KD2C,Beauty,3.0,https://cheapandlazystuff.com/products/B00021KD2C.jpg
Small Jewelry Box Necklace Ring Storage Organizer Mini Jewelry case Double Layer Travel Jewelry Organizer for Women Girls Gift/Black,https://amzn.to/4nEgGvg,B08C36CYNW,Household,3.0,https://cheapandlazystuff.com/products/B08C36CYNW.jpg
"Onsen Nail & Cuticle Cream Treatment w/Japanese Tsubaki, Jojoba & Lavender Oil, Shea Butter – Strengthens Nails, Softens Cuticles - Daily Repair Care (1 Count/15 ml)",https://amzn.to/3VtwQeW,B08VV26W43,Beauty,3.0,https://cheapandlazystuff.com/products/B08VV26W43.jpg
"Teamoy Travel Jewelry Case for Women,Jewelry Storage Organizer for Necklace, Earrings, Bracelet, Purple",https://amzn.to/4nNrqrf,B0BG8M3G45,Household,3.0,https://cheapandlazystuff.com/products/B0BG8M3G45.jpg
"MelodySusie Electric USB Nail Drill Machine,PC120I Portable Electric Nail File Efile Set for Acrylic Gel Nails, Manicure Pedicure Tool with Nail Drill Bits Sanding Bands Gold",https://amzn.to/3Kib9Mz,B07Y9Y5JM4,Beauty,3.0,https://cheapandlazystuff.com/products/B07Y9Y5JM4.jpg
"BONNIESTORE Winged Eyeliner Stamp 2 Pack,Dual-ended Eyeliner Stamp for Perfect Wing Cat Eyes,Long Lasting Liquid Eyeliner Pen Waterproof Smudge Proof Smudge Proof for All Eye Shapes",https://amzn.to/4pCNJ4D,B07J4KKFJ3,Beauty,3.0,https://cheapandlazystuff.com/products/B07J4KKFJ3.jpg
"540 Titanium Derma Roller for Face Hair Beard Scalp,Beard Microneedle Roller,Personal Use Microneedling,Microdermabrasion Cosmetic Beauty Instrument for Men Women（Black 1.o）",https://amzn.to/46BvaoE,B0DHRT3NTT,Beauty,3.0,https://cheapandlazystuff.com/products/B0DHRT3NTT.jpg
